Массовая гибель морских животных на Камчатке;2020-09-29;Россия;53.013060;158.828060;2022-08-20;;1;7;1
Лесные пожары в Сибири (2022);2022-05-06;Россия;59.831027;100.851250;2022-05-15;Общая площадь пожаров (на 15 мая) — около 20 тысяч гектаров.;1;5;1
Разлив дизельного топлива в Норильске;2020-05-29;Россия;69.322953;87.950976;2022-07-04;Разгерметизация бака с дизельным топливом на ТЭЦ-3 в Кайеркане (район Норильска). Это одна из крупнейших утечек нефтепродуктов в арктической зоне в истории, создавшая угрозу для экосистемы Северного Ледовитого океана.;1;1;1
